free,DisplayLength,Plus9Location,Light Configuration,Speaker Configuration,Side,Track,TrackLength,OperationCode,Station,OperationType,Status,unique unit config id
19-02,"19'2""",Rear,Double,4SP,Driver,2,2+9,SP1,1,Speaker,,19-02-R-D-4SP
19-02,"19'2""",Rear,Double,4SP,Passenger,1,4,L1,1,Light,,19-02-R-D-4SP
19-02,"19'2""",Rear,Double,4SP,Passenger,1,4,SP2,2,Speaker,,19-02-R-D-4SP
19-02,"19'2""",Rear,Double,4SP,Passenger,1,4,L3,3,Light,,19-02-R-D-4SP
19-02,"19'2""",Rear,Double,4SP,Passenger,2,2+9,L1,1,Light,,19-02-R-D-4SP
19-02,"19'2""",Rear,Double,4SP,Passenger,2,2+9,SP2,2,Speaker,,19-02-R-D-4SP
19-02,"19'2""",Rear,Double,8SP,Driver,1,4,L1,1,Light,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Driver,1,4,L3,3,Light,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Driver,1,4,SP3,3,Speaker,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Driver,1,4,SP4,4,Speaker,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Driver,2,2+9,L1,1,Light,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Driver,2,2+9,SP1,1,Speaker,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Driver,2,2+9,SP2,2,Speaker,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Passenger,1,4,L1,1,Light,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Passenger,1,4,L3,3,Light,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Passenger,1,4,SP3,3,Speaker,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Passenger,1,4,SP4,4,Speaker,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Passenger,2,2+9,L1,1,Light,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Passenger,2,2+9,SP1,1,Speaker,,19-02-R-D-8SP
19-02,"19'2""",Rear,Double,8SP,Passenger,2,2+9,SP2,2,Speaker,,19-02-R-D-8SP
19-02,"19'2""",Rear,Single,4SP,Driver,1,4,L1,1,Light,,19-02-R-S-4SP
19-02,"19'2""",Rear,Single,4SP,Driver,1,4,SP3,3,Speaker,,19-02-R-S-4SP
19-02,"19'2""",Rear,Single,4SP,Driver,2,2+9,L1,1,Light,,19-02-R-S-4SP
19-02,"19'2""",Rear,Single,4SP,Driver,2,2+9,SP1,1,Speaker,,19-02-R-S-4SP
19-02,"19'2""",Rear,Single,4SP,Passenger,1,4,SP2,2,Speaker,,19-02-R-S-4SP
19-02,"19'2""",Rear,Single,4SP,Passenger,1,4,L3,3,Light,,19-02-R-S-4SP
19-02,"19'2""",Rear,Single,4SP,Passenger,2,2+9,SP2,2,Speaker,,19-02-R-S-4SP
19-02,"19'2""",Rear,Single,8SP,Driver,1,4,L1,1,Light,,19-02-R-S-8SP
19-02,"19'2""",Rear,Single,8SP,Driver,1,4,SP3,3,Speaker,,19-02-R-S-8SP
19-02,"19'2""",Rear,Single,8SP,Driver,1,4,SP4,4,Speaker,,19-02-R-S-8SP
19-02,"19'2""",Rear,Single,8SP,Driver,2,2+9,L1,1,Light,,19-02-R-S-8SP
19-02,"19'2""",Rear,Single,8SP,Driver,2,2+9,SP1,1,Speaker,,19-02-R-S-8SP
19-02,"19'2""",Rear,Single,8SP,Driver,2,2+9,SP2,2,Speaker,,19-02-R-S-8SP
19-02,"19'2""",Rear,Single,8SP,Passenger,1,4,L3,3,Light,,19-02-R-S-8SP
19-02,"19'2""",Rear,Single,8SP,Passenger,1,4,SP3,3,Speaker,,19-02-R-S-8SP
19-02,"19'2""",Rear,Single,8SP,Passenger,1,4,SP4,4,Speaker,,19-02-R-S-8SP
19-02,"19'2""",Rear,Single,8SP,Passenger,2,2+9,SP1,1,Speaker,,19-02-R-S-8SP
19-02,"19'2""",Rear,Single,8SP,Passenger,2,2+9,SP2,2,Speaker,,19-02-R-S-8SP
22-02,"22'2""",FrontAndRear,Double,4SP,Driver,1,3+9,L1,1,Light,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,4SP,Driver,1,3+9,L3,3,Light,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,4SP,Driver,1,3+9,SP3,3,Speaker,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,4SP,Driver,2,2,L2,2,Light,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,4SP,Driver,3,2+9,SP1,1,Speaker,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,4SP,Driver,3,2+9,L2,2,Light,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,4SP,Passenger,1,3+9,L1,1,Light,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,4SP,Passenger,1,3+9,SP2,2,Speaker,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,4SP,Passenger,1,3+9,L3,3,Light,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,4SP,Passenger,2,2,L2,2,Light,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,4SP,Passenger,3,2+9,L2,2,Light,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,4SP,Passenger,3,2+9,SP2,2,Speaker,,22-02-FR-D-4SP
22-02,"22'2""",FrontAndRear,Double,8SP,Driver,1,3+9,L1,1,Light,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Driver,1,3+9,L3,3,Light,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Driver,1,3+9,SP3,3,Speaker,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Driver,2,2,SP1,1,Speaker,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Driver,2,2,L2,2,Light,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Driver,2,2,SP2,2,Speaker,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Driver,3,2+9,L2,2,Light,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Driver,3,2+9,SP2,2,Speaker,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Passenger,1,3+9,L1,1,Light,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Passenger,1,3+9,SP2,2,Speaker,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Passenger,1,3+9,L3,3,Light,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Passenger,2,2,SP1,1,Speaker,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Passenger,2,2,L2,2,Light,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Passenger,2,2,SP2,2,Speaker,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Passenger,3,2+9,SP1,1,Speaker,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Double,8SP,Passenger,3,2+9,L2,2,Light,,22-02-FR-D-8SP
22-02,"22'2""",FrontAndRear,Single,4SP,Driver,1,3+9,L1,1,Light,,22-02-FR-S-4SP
22-02,"22'2""",FrontAndRear,Single,4SP,Driver,1,3+9,SP3,3,Speaker,,22-02-FR-S-4SP
22-02,"22'2""",FrontAndRear,Single,4SP,Driver,2,2,L2,2,Light,,22-02-FR-S-4SP
22-02,"22'2""",FrontAndRear,Single,4SP,Driver,3,2+9,SP1,1,Speaker,,22-02-FR-S-4SP
22-02,"22'2""",FrontAndRear,Single,4SP,Passenger,1,3+9,SP2,2,Speaker,,22-02-FR-S-4SP
22-02,"22'2""",FrontAndRear,Single,4SP,Passenger,1,3+9,L3,3,Light,,22-02-FR-S-4SP
22-02,"22'2""",FrontAndRear,Single,4SP,Passenger,2,2,,,,,22-02-FR-S-4SP
22-02,"22'2""",FrontAndRear,Single,4SP,Passenger,3,2+9,L2,2,Light,,22-02-FR-S-4SP
22-02,"22'2""",FrontAndRear,Single,4SP,Passenger,3,2+9,SP2,2,Speaker,,22-02-FR-S-4SP
22-02,"22'2""",FrontAndRear,Single,8SP,Driver,1,3+9,L1,1,Light,,22-02-FR-S-8SP
22-02,"22'2""",FrontAndRear,Single,8SP,Driver,1,3+9,SP3,3,Speaker,,22-02-FR-S-8SP
22-02,"22'2""",FrontAndRear,Single,8SP,Driver,2,2,SP1,1,Speaker,,22-02-FR-S-8SP
22-02,"22'2""",FrontAndRear,Single,8SP,Driver,2,2,L2,2,Light,,22-02-FR-S-8SP
22-02,"22'2""",FrontAndRear,Single,8SP,Driver,2,2,SP2,2,Speaker,,22-02-FR-S-8SP
22-02,"22'2""",FrontAndRear,Single,8SP,Driver,3,2+9,SP2,2,Speaker,,22-02-FR-S-8SP
22-02,"22'2""",FrontAndRear,Single,8SP,Passenger,1,3+9,SP2,2,Speaker,,22-02-FR-S-8SP
22-02,"22'2""",FrontAndRear,Single,8SP,Passenger,1,3+9,L3,3,Light,,22-02-FR-S-8SP
22-02,"22'2""",FrontAndRear,Single,8SP,Passenger,2,2,SP1,1,Speaker,,22-02-FR-S-8SP
22-02,"22'2""",FrontAndRear,Single,8SP,Passenger,2,2,SP2,2,Speaker,,22-02-FR-S-8SP
22-02,"22'2""",FrontAndRear,Single,8SP,Passenger,3,2+9,SP1,1,Speaker,,22-02-FR-S-8SP
22-02,"22'2""",FrontAndRear,Single,8SP,Passenger,3,2+9,L2,2,Light,,22-02-FR-S-8SP
23-08-F,"23'8""",Front,Double,4SP,Driver,1,2+9,L1,1,Light,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,4SP,Driver,2,4,L1,1,Light,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,4SP,Driver,2,4,SP1,1,Speaker,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,4SP,Driver,2,4,L3,3,Light,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,4SP,Driver,2,4,SP4,4,Speaker,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,4SP,Driver,3,2,L1,1,Light,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,4SP,Passenger,1,2+9,L1,1,Light,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,4SP,Passenger,2,4,L1,1,Light,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,4SP,Passenger,2,4,SP2,2,Speaker,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,4SP,Passenger,2,4,L3,3,Light,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,4SP,Passenger,3,2,L1,1,Light,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,4SP,Passenger,3,2,SP1,1,Speaker,,23-08-F-F-D-4SP
23-08-F,"23'8""",Front,Double,8SP,Driver,1,2+9,L1,1,Light,,23-08-F-F-D-8SP
23-08-F,"23'8""",Front,Double,8SP,Driver,2,4,L1,1,Light,,23-08-F-F-D-8SP
23-08-F,"23'8""",Front,Double,8SP,Driver,2,4,SP1,1,Speaker,,23-08-F-F-D-8SP
23-08-F,"23'8""",Front,Double,8SP,Driver,2,4,L3,3,Light,,23-08-F-F-D-8SP
23-08-F,"23'8""",Front,Double,8SP,Driver,2,4,SP3,3,Speaker,,23-08-F-F-D-8SP
23-08-F,"23'8""",Front,Double,8SP,Driver,3,2,L1,1,Light,,23-08-F-F-D-8SP
23-08-F,"23'8""",Front,Double,8SP,Driver,3,2,SP1,1,Speaker,,23-08-F-F-D-8SP
23-08-F,"23'8""",Front,Double,8SP,Driver,3,2,SP2,2,Speaker,,23-08-F-F-D-8SP
23-08-F,"23'8""",Front,Double,8SP,Passenger,1,2+9,L1,1,Light,,23-08-F-F-D-8SP
